Time,Low,Open,High,Close
12/27/2004 3:30:00 PM,360.865,360.865,366.2625,364.4625
12/27/2004 3:33:00 PM,364.4625,364.4625,364.4625,364.4625
12/27/2004 3:36:00 PM,364.4625,364.4625,364.4625,364.4625
12/27/2004 3:39:00 PM,362.665,364.4625,364.4625,364.4625
12/27/2004 3:42:00 PM,364.4625,364.4625,364.4625,364.4625
12/27/2004 3:45:00 PM,361.765,364.4625,364.4625,361.765
12/27/2004 3:48:00 PM,361.765,361.765,361.765,361.765
12/27/2004 3:51:00 PM,360.865,361.765,361.765,361.765
12/27/2004 3:54:00 PM,361.765,361.765,362.665,362.665
12/27/2004 3:57:00 PM,362.665,362.665,362.665,362.665
12/27/2004 4:00:00 PM,360.865,362.665,362.665,360.865
12/27/2004 4:03:00 PM,359.965,360.865,360.865,360.865
12/27/2004 4:06:00 PM,359.965,360.865,361.765,361.765
12/27/2004 4:09:00 PM,361.765,361.765,361.765,361.765
12/27/2004 4:12:00 PM,361.765,361.765,362.665,361.765
12/27/2004 4:15:00 PM,361.765,361.765,362.665,362.665
12/27/2004 4:18:00 PM,361.765,362.665,362.665,361.765
12/27/2004 4:21:00 PM,360.865,361.765,361.765,360.865
12/27/2004 4:24:00 PM,360.865,360.865,360.865,360.865
12/27/2004 4:27:00 PM,360.865,360.865,360.865,360.865
12/27/2004 4:30:00 PM,360.865,360.865,360.865,360.865
12/27/2004 4:33:00 PM,359.965,360.865,361.765,361.765
12/27/2004 4:36:00 PM,361.765,361.765,361.765,361.765
12/27/2004 4:39:00 PM,361.765,361.765,362.665,362.665
12/27/2004 4:42:00 PM,362.665,362.665,362.665,362.665
12/27/2004 4:45:00 PM,360.865,362.665,362.665,360.865
12/27/2004 4:48:00 PM,360.865,360.865,360.865,360.865
12/27/2004 4:51:00 PM,360.865,360.865,360.865,360.865
12/27/2004 4:54:00 PM,360.865,360.865,360.865,360.865
12/27/2004 4:57:00 PM,359.065,360.865,360.865,359.965
12/27/2004 5:00:00 PM,359.965,359.965,359.965,359.965
12/27/2004 5:03:00 PM,359.965,359.965,360.865,360.865
12/27/2004 5:06:00 PM,360.865,360.865,360.865,360.865
12/27/2004 5:09:00 PM,360.865,360.865,360.865,360.865
12/27/2004 5:12:00 PM,360.865,360.865,361.765,360.865
12/27/2004 5:15:00 PM,360.865,360.865,360.865,360.865
12/27/2004 5:18:00 PM,360.865,360.865,360.865,360.865
12/27/2004 5:21:00 PM,359.965,360.865,360.865,360.865
12/27/2004 5:24:00 PM,359.965,360.865,360.865,360.865
